iter	Passed	Remaining
1015	4031	11840
1016	4035	11835
1017	4038	11829
1018	4041	11822
1019	4044	11816
1020	4047	11809
1021	4050	11804
1022	4054	11797
1023	4057	11791
1024	4060	11785
1025	4064	11780
1026	4067	11774
1027	4071	11769
1028	4074	11764
1029	4077	11757
1030	4081	11753
1031	4084	11747
1032	4088	11742
1033	4091	11736
1034	4094	11729
1035	4097	11723
1036	4101	11718
1037	4104	11712
1038	4107	11705
1039	4110	11699
1040	4113	11693
1041	4117	11688
1042	4120	11681
1043	4123	11675
1044	4126	11669
1045	4130	11663
1046	4133	11657
1047	4136	11650
1048	4139	11646
1049	4142	11639
1050	4147	11637
1051	4153	11639
1052	4158	11639
1053	4165	11643
1054	4171	11645
1055	4175	11641
1056	4179	11637
1057	4185	11639
1058	4190	11637
1059	4196	11639
1060	4201	11636
1061	4206	11638
1062	4211	11635
1063	4214	11629
1064	4218	11624
1065	4221	11618
1066	4224	11613
1067	4227	11606
1068	4230	11600
1069	4234	11594
1070	4238	11592
1071	4242	11587
1072	4245	11580
1073	4248	11573
1074	4251	11567
1075	4254	11561
1076	4257	11554
1077	4260	11548
1078	4264	11543
1079	4267	11537
1080	4270	11532
1081	4274	11527
1082	4277	11522
1083	4280	11515
1084	4284	11509
1085	4287	11503
1086	4290	11496
1087	4296	11498
1088	4299	11493
1089	4302	11487
1090	4306	11482
1091	4309	11476
1092	4313	11471
1093	4316	11467
1094	4320	11461
1095	4323	11456
1096	4326	11450
1097	4330	11446
1098	4334	11440
1099	4337	11434
1100	4341	11430
1101	4344	11424
1102	4348	11422
1103	4352	11418
1104	4356	11412
1105	4359	11407
1106	4362	11401
1107	4366	11396
1108	4369	11390
1109	4372	11384
1110	4376	11380
1111	4379	11374
1112	4382	11368
1113	4387	11365
1114	4390	11360
1115	4394	11357
1116	4398	11352
1117	4402	11348
1118	4406	11343
1119	4409	11338
1120	4413	11335
1121	4417	11331
1122	4420	11325
1123	4424	11321
1124	4428	11316
1125	4431	11311
1126	4434	11305
1127	4439	11302
1128	4442	11296
1129	4445	11291
1130	4449	11286
1131	4453	11282
1132	4456	11277
1133	4459	11271
1134	4463	11265
1135	4466	11260
1136	4470	11257
1137	4478	11263
1138	4485	11266
1139	4491	11268
1140	4496	11266
1141	4499	11261
1142	4503	11255
1143	4506	11250
1144	4509	11244
1145	4512	11239
1146	4516	11234
1147	4519	11228
1148	4523	11224
1149	4527	11219
1150	4530	11213
1151	4533	11207
1152	4536	11201
1153	4539	11196
1154	4543	11190
1155	4546	11185
1156	4549	11179
1157	4552	11173
1158	4556	11168
1159	4559	11163
1160	4562	11157
1161	4566	11153
1162	4569	11147
1163	4573	11141
1164	4576	11137
1165	4580	11131
1166	4584	11128
1167	4587	11123
1168	4591	11119
1169	4596	11116
1170	4599	11111
1171	4602	11105
1172	4605	11099
1173	4608	11093
1174	4611	11088
1175	4615	11082
1176	4618	11078
1177	4622	11073
1178	4625	11068
1179	4628	11062
1180	4631	11056
1181	4634	11049
1182	4637	11043
1183	4640	11037
1184	4643	11031
1185	4646	11025
1186	4649	11019
1187	4653	11014
1188	4656	11009
1189	4659	11003
1190	4662	10997
1191	4666	10993
1192	4670	10988
1193	4673	10983
1194	4677	10978
1195	4680	10973
1196	4684	10968
1197	4687	10962
1198	4691	10958
1199	4694	10953
1200	4697	10947
1201	4700	10941
1202	4707	10943
1203	4713	10945
1204	4717	10942
1205	4723	10942
1206	4726	10938
1207	4731	10934
1208	4735	10931
1209	4738	10926
1210	4743	10923
1211	4748	10923
1212	4752	10919
1213	4756	10915
1214	4760	10912
1215	4767	10915
1216	4775	10919
1217	4783	10925
1218	4793	10936
1219	4799	10936
1220	4808	10943
1221	4815	10947
1222	4839	10987
1223	4844	10987
1224	4848	10983
1225	4852	10980
1226	4859	10983
1227	4866	10984
1228	4870	10981
1229	4876	10982
1230	4882	10983
1231	4887	10981
1232	4893	10981
1233	4897	10977
1234	4904	10980
1235	4908	10976
1236	4914	10976
1237	4918	10972
1238	4924	10973
1239	4930	10974
1240	4936	10975
1241	4941	10972
1242	4947	10973
1243	4952	10971
1244	4958	10972
1245	4964	10973
1246	4969	10971
1247	4975	10972
1248	4981	10973
1249	4990	10979
1250	4998	10983
1251	5006	10988
1252	5012	10989
1253	5017	10987
1254	5022	10985
1255	5028	10984
1256	5040	10998
1257	5047	11001
1258	5056	11009
1259	5063	11010
1260	5071	11014
1261	5076	11014
1262	5082	11013
1263	5089	11015
1264	5094	11015
1265	5099	11012
1266	5104	11009
1267	5107	11004
1268	5112	11002
1269	5119	11004
1270	5126	11006
1271	5132	11007
1272	5139	11009
1273	5143	11006
1274	5147	11000
1275	5150	10995
1276	5154	10990
1277	5157	10985
1278	5160	10979
1279	5164	10973
1280	5167	10968
1281	5170	10962
1282	5173	10956
1283	5177	10950
1284	5180	10945
1285	5183	10939
1286	5186	10933
1287	5190	10928
1288	5193	10922
1289	5196	10916
1290	5199	10911
1291	5203	10905
1292	5206	10900
1293	5209	10894
1294	5213	10889
1295	5216	10884
1296	5219	10878
